GAME_ID,SEASON_ID,GAME_DATE,HOME_TEAM,AWAY_TEAM,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_WIN,SEASON,HOME_GP,HOME_W,HOME_L,HOME_W_PCT,HOME_E_OFF_RATING,HOME_OFF_RATING,HOME_E_DEF_RATING,HOME_DEF_RATING,HOME_E_NET_RATING,HOME_NET_RATING,HOME_AST_PCT,HOME_AST_TO,HOME_AST_RATIO,HOME_OREB_PCT,HOME_DREB_PCT,HOME_REB_PCT,HOME_TM_TOV_PCT,HOME_EFG_PCT,HOME_TS_PCT,HOME_E_PACE,HOME_PACE,HOME_PACE_PER40,HOME_POSS,HOME_PIE,HOME_GP_RANK,AWAY_GP,AWAY_W,AWAY_L,AWAY_W_PCT,AWAY_E_OFF_RATING,AWAY_OFF_RATING,AWAY_E_DEF_RATING,AWAY_DEF_RATING,AWAY_E_NET_RATING,AWAY_NET_RATING,AWAY_AST_PCT,AWAY_AST_TO,AWAY_AST_RATIO,AWAY_OREB_PCT,AWAY_DREB_PCT,AWAY_REB_PCT,AWAY_TM_TOV_PCT,AWAY_EFG_PCT,AWAY_TS_PCT,AWAY_E_PACE,AWAY_PACE,AWAY_PACE_PER40,AWAY_POSS,AWAY_PIE,AWAY_GP_RANK,NET_RATING_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF,PACE_DIFF,TS_PCT_DIFF,EFG_PCT_DIFF,PIE_DIFF
41500133,42015,2016-04-22,Boston Celtics,Atlanta Hawks,1610612738,1610612737,1,2015-16,82,48,34,0.585,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,82,48,34,0.585,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,-0.6000000000000001,1.2000000000000028,1.7000000000000028,1.8000000000000114,-0.02100000000000002,-0.028000000000000025,-0.008000000000000007
41500134,42015,2016-04-24,Boston Celtics,Atlanta Hawks,1610612738,1610612737,1,2015-16,82,48,34,0.585,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,82,48,34,0.585,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,-0.6000000000000001,1.2000000000000028,1.7000000000000028,1.8000000000000114,-0.02100000000000002,-0.028000000000000025,-0.008000000000000007
41500135,42015,2016-04-26,Atlanta Hawks,Boston Celtics,1610612737,1610612738,1,2015-16,82,48,34,0.585,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,82,48,34,0.585,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,0.6000000000000001,-1.2000000000000028,-1.7000000000000028,-1.8000000000000114,0.02100000000000002,0.028000000000000025,0.008000000000000007
41500136,42015,2016-04-28,Boston Celtics,Atlanta Hawks,1610612738,1610612737,0,2015-16,82,48,34,0.585,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,82,48,34,0.585,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,-0.6000000000000001,1.2000000000000028,1.7000000000000028,1.8000000000000114,-0.02100000000000002,-0.028000000000000025,-0.008000000000000007
41500141,42015,2016-04-16,Golden State Warriors,Houston Rockets,1610612744,1610612745,1,2015-16,82,73,9,0.89,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,82,41,41,0.5,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49,1,10.6,6.200000000000003,-4.5,1.8199999999999932,0.039999999999999925,0.04699999999999993,0.07699999999999996
41500142,42015,2016-04-18,Golden State Warriors,Houston Rockets,1610612744,1610612745,1,2015-16,82,73,9,0.89,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,82,41,41,0.5,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49,1,10.6,6.200000000000003,-4.5,1.8199999999999932,0.039999999999999925,0.04699999999999993,0.07699999999999996
41500143,42015,2016-04-21,Houston Rockets,Golden State Warriors,1610612745,1610612744,1,2015-16,82,41,41,0.5,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49,1,82,73,9,0.89,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,-10.6,-6.200000000000003,4.5,-1.8199999999999932,-0.039999999999999925,-0.04699999999999993,-0.07699999999999996
41500144,42015,2016-04-24,Houston Rockets,Golden State Warriors,1610612745,1610612744,0,2015-16,82,41,41,0.5,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49,1,82,73,9,0.89,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,-10.6,-6.200000000000003,4.5,-1.8199999999999932,-0.039999999999999925,-0.04699999999999993,-0.07699999999999996
41500145,42015,2016-04-27,Golden State Warriors,Houston Rockets,1610612744,1610612745,1,2015-16,82,73,9,0.89,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,82,41,41,0.5,105.5,107.3,105.6,107.3,-0.2,0.0,0.589,1.39,16.4,0.297,0.692,0.492,0.161,0.516,0.553,100.1,98.42,82.02,8139,0.49,1,10.6,6.200000000000003,-4.5,1.8199999999999932,0.039999999999999925,0.04699999999999993,0.07699999999999996
41500151,42015,2016-04-17,San Antonio Spurs,Memphis Grizzlies,1610612759,1610612763,1,2015-16,82,67,15,0.817,108.4,109.3,96.6,98.2,11.8,11.1,0.611,1.88,18.8,0.266,0.746,0.516,0.138,0.526,0.564,95.7,94.54,78.78,7767,0.578,1,82,42,40,0.512,102.6,104.7,105.4,107.1,-2.9,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,95.7,93.95,78.29,7763,0.483,1,13.5,4.599999999999994,-8.899999999999991,0.5900000000000034,0.039999999999999925,0.049000000000000044,0.09499999999999997
41500152,42015,2016-04-19,San Antonio Spurs,Memphis Grizzlies,1610612759,1610612763,1,2015-16,82,67,15,0.817,108.4,109.3,96.6,98.2,11.8,11.1,0.611,1.88,18.8,0.266,0.746,0.516,0.138,0.526,0.564,95.7,94.54,78.78,7767,0.578,1,82,42,40,0.512,102.6,104.7,105.4,107.1,-2.9,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,95.7,93.95,78.29,7763,0.483,1,13.5,4.599999999999994,-8.899999999999991,0.5900000000000034,0.039999999999999925,0.049000000000000044,0.09499999999999997
41500153,42015,2016-04-22,Memphis Grizzlies,San Antonio Spurs,1610612763,1610612759,0,2015-16,82,42,40,0.512,102.6,104.7,105.4,107.1,-2.9,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,95.7,93.95,78.29,7763,0.483,1,82,67,15,0.817,108.4,109.3,96.6,98.2,11.8,11.1,0.611,1.88,18.8,0.266,0.746,0.516,0.138,0.526,0.564,95.7,94.54,78.78,7767,0.578,1,-13.5,-4.599999999999994,8.899999999999991,-0.5900000000000034,-0.039999999999999925,-0.049000000000000044,-0.09499999999999997
41500154,42015,2016-04-24,Memphis Grizzlies,San Antonio Spurs,1610612763,1610612759,0,2015-16,82,42,40,0.512,102.6,104.7,105.4,107.1,-2.9,-2.4,0.562,1.56,16.0,0.298,0.709,0.495,0.14,0.477,0.524,95.7,93.95,78.29,7763,0.483,1,82,67,15,0.817,108.4,109.3,96.6,98.2,11.8,11.1,0.611,1.88,18.8,0.266,0.746,0.516,0.138,0.526,0.564,95.7,94.54,78.78,7767,0.578,1,-13.5,-4.599999999999994,8.899999999999991,-0.5900000000000034,-0.039999999999999925,-0.049000000000000044,-0.09499999999999997
41500161,42015,2016-04-16,Oklahoma City Thunder,Dallas Mavericks,1610612760,1610612742,1,2015-16,82,55,27,0.671,109.9,112.1,103.0,104.8,6.9,7.4,0.558,1.44,16.7,0.347,0.72,0.541,0.162,0.524,0.565,99.4,97.54,81.28,8061,0.546,1,82,42,40,0.512,104.8,105.5,104.3,105.9,0.6,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,96.4,95.34,79.45,7950,0.503,1,7.800000000000001,6.599999999999994,-1.1000000000000085,2.200000000000003,0.020999999999999908,0.02200000000000002,0.04300000000000004
41500162,42015,2016-04-18,Oklahoma City Thunder,Dallas Mavericks,1610612760,1610612742,0,2015-16,82,55,27,0.671,109.9,112.1,103.0,104.8,6.9,7.4,0.558,1.44,16.7,0.347,0.72,0.541,0.162,0.524,0.565,99.4,97.54,81.28,8061,0.546,1,82,42,40,0.512,104.8,105.5,104.3,105.9,0.6,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,96.4,95.34,79.45,7950,0.503,1,7.800000000000001,6.599999999999994,-1.1000000000000085,2.200000000000003,0.020999999999999908,0.02200000000000002,0.04300000000000004
41500163,42015,2016-04-21,Dallas Mavericks,Oklahoma City Thunder,1610612742,1610612760,0,2015-16,82,42,40,0.512,104.8,105.5,104.3,105.9,0.6,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,96.4,95.34,79.45,7950,0.503,1,82,55,27,0.671,109.9,112.1,103.0,104.8,6.9,7.4,0.558,1.44,16.7,0.347,0.72,0.541,0.162,0.524,0.565,99.4,97.54,81.28,8061,0.546,1,-7.800000000000001,-6.599999999999994,1.1000000000000085,-2.200000000000003,-0.020999999999999908,-0.02200000000000002,-0.04300000000000004
